path,wav,true,pred,corpus,modality,channel,emotion,intensity,statement,repetition,actor
dataset/features/5/1746397884084.npy,dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-07-02-01-01-05.wav,5,2,RAVDESS,3,1,7,2,1,1,5
dataset/features/0/1746397886658.npy,dataset/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-01-01-20.wav,0,2,RAVDESS,3,1,1,1,1,1,20
dataset/features/0/1746397888686.npy,dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-02-03.wav,0,5,RAVDESS,3,1,1,1,1,2,3
dataset/features/6/1746397888931.npy,dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-08-01-02-02-09.wav,6,0,RAVDESS,3,1,8,1,2,2,9
dataset/features/6/1746397889187.npy,dataset/Audio_Speech_Actors_01-24/Actor_15/03-01-08-01-02-01-15.wav,6,5,RAVDESS,3,1,8,1,2,1,15
dataset/features/6/1746397889430.npy,dataset/Audio_Speech_Actors_01-24/Actor_20/03-01-08-02-02-02-20.wav,6,4,RAVDESS,3,1,8,2,2,2,20
dataset/features/6/1746397889706.npy,dataset/Audio_Speech_Actors_01-24/Actor_22/03-01-08-02-02-02-22.wav,6,5,RAVDESS,3,1,8,2,2,2,22
dataset/features/6/1746397890682.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-08-01-02-02-10.wav,6,1,RAVDESS,3,1,8,1,2,2,10
dataset/features/6/1746397890924.npy,dataset/Audio_Speech_Actors_01-24/Actor_16/03-01-08-01-01-01-16.wav,6,1,RAVDESS,3,1,8,1,1,1,16
dataset/features/6/1746397892205.npy,dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-08-01-02-01-11.wav,6,1,RAVDESS,3,1,8,1,2,1,11
dataset/features/6/1746397893698.npy,dataset/Audio_Speech_Actors_01-24/Actor_19/03-01-08-01-01-02-19.wav,6,5,RAVDESS,3,1,8,1,1,2,19
dataset/features/3/1746397893943.npy,dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-05-01-01-01-09.wav,3,2,RAVDESS,3,1,5,1,1,1,9
dataset/features/3/1746397897286.npy,dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-05-01-01-02-11.wav,3,5,RAVDESS,3,1,5,1,1,2,11
dataset/features/3/1746397897525.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-05-01-01-01-13.wav,3,5,RAVDESS,3,1,5,1,1,1,13
dataset/features/3/1746397897777.npy,dataset/Audio_Speech_Actors_01-24/Actor_12/03-01-05-01-02-01-12.wav,3,5,RAVDESS,3,1,5,1,2,1,12
