path,wav,true,pred
dataset/features/5/1746386584831.npy,dataset/features/5/1746386584831.npy,5,4
dataset/features/5/1746386586961.npy,dataset/features/5/1746386586961.npy,5,2
dataset/features/0/1746386591973.npy,dataset/features/0/1746386591973.npy,0,1
dataset/features/6/1746386592467.npy,dataset/features/6/1746386592467.npy,6,0
dataset/features/6/1746386592971.npy,dataset/features/6/1746386592971.npy,6,4
dataset/features/6/1746386594476.npy,dataset/features/6/1746386594476.npy,6,1
dataset/features/6/1746386595520.npy,dataset/features/6/1746386595520.npy,6,1
dataset/features/6/1746386596999.npy,dataset/features/6/1746386596999.npy,6,4
dataset/features/3/1746386598813.npy,dataset/features/3/1746386598813.npy,3,1
dataset/features/3/1746386599343.npy,dataset/features/3/1746386599343.npy,3,6
dataset/features/3/1746386599610.npy,dataset/features/3/1746386599610.npy,3,6
dataset/features/3/1746386600610.npy,dataset/features/3/1746386600610.npy,3,4
dataset/features/3/1746386600852.npy,dataset/features/3/1746386600852.npy,3,5
dataset/features/3/1746386601094.npy,dataset/features/3/1746386601094.npy,3,5
dataset/features/3/1746386601350.npy,dataset/features/3/1746386601350.npy,3,5
dataset/features/3/1746386601891.npy,dataset/features/3/1746386601891.npy,3,5
dataset/features/3/1746386602432.npy,dataset/features/3/1746386602432.npy,3,5
dataset/features/1/1746386602681.npy,dataset/features/1/1746386602681.npy,1,6
dataset/features/1/1746386602919.npy,dataset/features/1/1746386602919.npy,1,6
dataset/features/1/1746386605200.npy,dataset/features/1/1746386605200.npy,1,4
dataset/features/1/1746386605993.npy,dataset/features/1/1746386605993.npy,1,3
dataset/features/1/1746386607533.npy,dataset/features/1/1746386607533.npy,1,4
dataset/features/2/1746386607771.npy,dataset/features/2/1746386607771.npy,2,4
dataset/features/2/1746386608013.npy,dataset/features/2/1746386608013.npy,2,4
dataset/features/2/1746386608515.npy,dataset/features/2/1746386608515.npy,2,0
dataset/features/2/1746386608810.npy,dataset/features/2/1746386608810.npy,2,4
dataset/features/2/1746386609076.npy,dataset/features/2/1746386609076.npy,2,5
dataset/features/2/1746386610091.npy,dataset/features/2/1746386610091.npy,2,5
dataset/features/2/1746386611097.npy,dataset/features/2/1746386611097.npy,2,4
dataset/features/2/1746386611340.npy,dataset/features/2/1746386611340.npy,2,5
dataset/features/2/1746386612413.npy,dataset/features/2/1746386612413.npy,2,6
