path,wav,true,pred
dataset/features/5/1746386584831.npy,dataset/features/5/1746386584831.npy,5,4
dataset/features/5/1746386585682.npy,dataset/features/5/1746386585682.npy,5,2
dataset/features/5/1746386586961.npy,dataset/features/5/1746386586961.npy,5,2
dataset/features/5/1746386588609.npy,dataset/features/5/1746386588609.npy,5,3
dataset/features/6/1746386592467.npy,dataset/features/6/1746386592467.npy,6,0
dataset/features/6/1746386592731.npy,dataset/features/6/1746386592731.npy,6,5
dataset/features/6/1746386593235.npy,dataset/features/6/1746386593235.npy,6,3
dataset/features/6/1746386595520.npy,dataset/features/6/1746386595520.npy,6,1
dataset/features/6/1746386595748.npy,dataset/features/6/1746386595748.npy,6,3
dataset/features/3/1746386597503.npy,dataset/features/3/1746386597503.npy,3,0
dataset/features/3/1746386599343.npy,dataset/features/3/1746386599343.npy,3,6
dataset/features/3/1746386601094.npy,dataset/features/3/1746386601094.npy,3,5
dataset/features/3/1746386602188.npy,dataset/features/3/1746386602188.npy,3,5
dataset/features/3/1746386602432.npy,dataset/features/3/1746386602432.npy,3,5
dataset/features/1/1746386602919.npy,dataset/features/1/1746386602919.npy,1,6
dataset/features/1/1746386603171.npy,dataset/features/1/1746386603171.npy,1,3
dataset/features/1/1746386603698.npy,dataset/features/1/1746386603698.npy,1,4
dataset/features/1/1746386603930.npy,dataset/features/1/1746386603930.npy,1,6
dataset/features/1/1746386605200.npy,dataset/features/1/1746386605200.npy,1,4
dataset/features/1/1746386605993.npy,dataset/features/1/1746386605993.npy,1,3
dataset/features/2/1746386607771.npy,dataset/features/2/1746386607771.npy,2,4
dataset/features/2/1746386608013.npy,dataset/features/2/1746386608013.npy,2,4
dataset/features/2/1746386608515.npy,dataset/features/2/1746386608515.npy,2,0
dataset/features/2/1746386609076.npy,dataset/features/2/1746386609076.npy,2,5
dataset/features/2/1746386611340.npy,dataset/features/2/1746386611340.npy,2,5
dataset/features/2/1746386612413.npy,dataset/features/2/1746386612413.npy,2,1
dataset/features/4/1746386613427.npy,dataset/features/4/1746386613427.npy,4,3
dataset/features/4/1746386614716.npy,dataset/features/4/1746386614716.npy,4,1
dataset/features/4/1746386615209.npy,dataset/features/4/1746386615209.npy,4,2
dataset/features/4/1746386615957.npy,dataset/features/4/1746386615957.npy,4,2
