path,wav,true,pred,corpus,modality,channel,emotion,intensity,statement,repetition,actor
dataset/features/5/1746075579143.npy,dataset/Audio_Speech_Actors_01-24/Actor_15/03-01-07-02-02-02-15.wav,5,6,RAVDESS,3,1,7,2,2,2,15
dataset/features/5/1746075579756.npy,dataset/Audio_Speech_Actors_01-24/Actor_22/03-01-07-01-01-01-22.wav,5,3,RAVDESS,3,1,7,1,1,1,22
dataset/features/5/1746075582904.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-07-01-01-02-13.wav,5,6,RAVDESS,3,1,7,1,1,2,13
dataset/features/5/1746075583204.npy,dataset/Audio_Speech_Actors_01-24/Actor_12/03-01-07-02-02-02-12.wav,5,3,RAVDESS,3,1,7,2,2,2,12
dataset/features/0/1746075584614.npy,dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-01-01-09.wav,0,1,RAVDESS,3,1,1,1,1,1,9
dataset/features/0/1746075584885.npy,dataset/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-01-01-20.wav,0,2,RAVDESS,3,1,1,1,1,1,20
dataset/features/0/1746075586266.npy,dataset/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-02-02-07.wav,0,2,RAVDESS,3,1,1,1,2,2,7
dataset/features/0/1746075586791.npy,dataset/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-02-02.wav,0,1,RAVDESS,3,1,1,1,1,2,2
dataset/features/0/1746075587057.npy,dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-02-03.wav,0,5,RAVDESS,3,1,1,1,1,2,3
dataset/features/6/1746075587324.npy,dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-08-01-02-02-09.wav,6,5,RAVDESS,3,1,8,1,2,2,9
dataset/features/6/1746075587856.npy,dataset/Audio_Speech_Actors_01-24/Actor_20/03-01-08-02-02-02-20.wav,6,1,RAVDESS,3,1,8,2,2,2,20
dataset/features/6/1746075590814.npy,dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-08-01-02-01-11.wav,6,4,RAVDESS,3,1,8,1,2,1,11
dataset/features/6/1746075592155.npy,dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-08-02-01-02-03.wav,6,3,RAVDESS,3,1,8,2,1,2,3
dataset/features/6/1746075592422.npy,dataset/Audio_Speech_Actors_01-24/Actor_19/03-01-08-01-01-02-19.wav,6,5,RAVDESS,3,1,8,1,1,2,19
dataset/features/3/1746075592691.npy,dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-05-01-01-01-09.wav,3,5,RAVDESS,3,1,5,1,1,1,9
dataset/features/3/1746075593852.npy,dataset/Audio_Speech_Actors_01-24/Actor_24/03-01-05-01-02-01-24.wav,3,1,RAVDESS,3,1,5,1,2,1,24
dataset/features/3/1746075594112.npy,dataset/Audio_Speech_Actors_01-24/Actor_23/03-01-05-01-01-02-23.wav,3,1,RAVDESS,3,1,5,1,1,2,23
dataset/features/3/1746075594686.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-05-01-01-02-10.wav,3,5,RAVDESS,3,1,5,1,1,2,10
dataset/features/3/1746075596316.npy,dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-05-01-01-02-11.wav,3,5,RAVDESS,3,1,5,1,1,2,11
dataset/features/3/1746075596856.npy,dataset/Audio_Speech_Actors_01-24/Actor_12/03-01-05-01-02-01-12.wav,3,5,RAVDESS,3,1,5,1,2,1,12
dataset/features/3/1746075598011.npy,dataset/Audio_Speech_Actors_01-24/Actor_19/03-01-05-01-02-01-19.wav,3,5,RAVDESS,3,1,5,1,2,1,19
dataset/features/1/1746075599650.npy,dataset/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-02-02-23.wav,1,6,RAVDESS,3,1,3,2,2,2,23
dataset/features/1/1746075600192.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-03-01-01-02-10.wav,1,6,RAVDESS,3,1,3,1,1,2,10
dataset/features/1/1746075601016.npy,dataset/Audio_Speech_Actors_01-24/Actor_17/03-01-03-01-02-02-17.wav,1,2,RAVDESS,3,1,3,1,2,2,17
dataset/features/1/1746075602148.npy,dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-03-02-01-01-13.wav,1,4,RAVDESS,3,1,3,2,1,1,13
dataset/features/1/1746075603333.npy,dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-03-02-01-01-03.wav,1,5,RAVDESS,3,1,3,2,1,1,3
dataset/features/2/1746075604670.npy,dataset/Audio_Speech_Actors_01-24/Actor_22/03-01-04-01-01-01-22.wav,2,0,RAVDESS,3,1,4,1,1,1,22
dataset/features/2/1746075605273.npy,dataset/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-02-01-23.wav,2,4,RAVDESS,3,1,4,2,2,1,23
dataset/features/2/1746075605825.npy,dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-04-02-01-01-10.wav,2,1,RAVDESS,3,1,4,2,1,1,10
